ID_Envio;ID_Transportista;Fecha_Salida;Tipo_Vehiculo;Tipo_Carga;Region_Origen;Region_Destino;Distancia_Km;Costo_Combustible;Costo_Mantenimiento;Tarifa_Cliente;Estado_Final;Fecha_Llegada_Estimada;Fecha_Llegada_Real
ENV00001;ID_T011;2024-07-31;Camioneta;Mobiliario;Levante;Andalucía;263;186;109;349;Retrasado;2024-07-31 12:37:26.400;2024-08-05 12:37:26.400000
ENV00002;ID_T014;2024-01-17;Camioneta;Químicos;Centro;Norte;600;103;10;435;Entregado;2024-01-18 04:48:00.000;2024-01-18 08:59:37.839943
ENV00003;ID_T002;2024-06-02;Camioneta;Químicos;Levante;Centro;782;145;71;264;Entregado;2024-06-03 13:32:09.600;2024-06-03 23:52:58.618207
ENV00004;ID_T006;2024-12-23;Camioneta;Paqueteria;Levante;Levante;50;233;88;234;Retrasado;2024-12-23 02:24:00.000;2024-12-27 02:24:00.000000
ENV00005;ID_T014;2024-03-15;Camioneta;Materiales_Construccion;Canarias;Andalucía;912;69;113;489;Entregado;2024-03-16 19:46:33.600;2024-03-17 04:38:34.935945
ENV00006;ID_T014;2024-08-19;Furgoneta;Químicos;Sur;Norte;66;75;80;231;Retrasado;2024-08-19 03:10:04.800;2024-08-23 03:10:04.800000
ENV00007;ID_T004;2024-06-10;Furgoneta;Paqueteria;Canarias;Andalucía;959;52;73;288;Retrasado;2024-06-11 22:01:55.200;2024-06-15 22:01:55.200000
ENV00008;ID_T001;2024-04-23;Furgoneta;Mobiliario;Norte;Andalucía;305;206;77;146;Entregado;2024-04-23 14:38:24.000;2024-04-23 08:45:08.676273
ENV00009;ID_T002;2024-08-02;Camioneta;Frío;Andalucía;Sur;433;171;80;502;Retrasado;2024-08-02 20:47:02.400;2024-08-07 20:47:02.400000
ENV00010;ID_T008;2024-08-29;Camioneta;Mobiliario;Sur;Sur;50;155;59;425;Entregado;2024-08-29 02:24:00.000;2024-08-28 16:47:42.045801
ENV00011;ID_T007;2024-02-04;Furgoneta;Materiales_Construccion;Sur;Canarias;984;104;83;342;Retrasado;2024-02-05 23:13:55.200;2024-02-08 23:13:55.200000
ENV00012;ID_T006;2024-03-17;Furgoneta;Materiales_Construccion;Andalucía;Sur;823;186;78;316;Retrasado;2024-03-18 15:30:14.400;2024-03-20 15:30:14.400000
ENV00013;ID_T006;2024-06-03;Camioneta;Paqueteria;Norte;Andalucía;424;203;32;178;Retrasado;2024-06-03 20:21:07.200;2024-06-06 20:21:07.200000
ENV00014;ID_T003;2024-12-17;Camioneta;Químicos;Centro;Levante;786;146;57;403;Cancelado;2024-12-18 13:43:40.800;2024-12-18 13:43:40.800000
ENV00015;ID_T005;2024-07-01;Furgoneta;Químicos;Andalucía;Sur;201;181;10;346;Entregado;2024-07-01 09:38:52.800;2024-07-01 15:55:14.007212
ENV00016;ID_T006;2024-04-17;Furgoneta;Paqueteria;Sur;Sur;113;122;57;196;Entregado;2024-04-17 05:25:26.400;2024-04-16 18:54:17.034480
ENV00017;ID_T009;2024-05-14;Camioneta;Materiales_Construccion;Norte;Levante;698;156;76;435;Cancelado;2024-05-15 09:30:14.400;2024-05-15 09:30:14.400000
ENV00018;ID_T006;2024-10-01;Camioneta;Frío;Sur;Canarias;392;188;36;441;Entregado;2024-10-01 18:48:57.600;2024-10-02 05:09:37.280274
ENV00019;ID_T012;2024-06-19;Camioneta;Materiales_Construccion;Norte;Sur;492;188;15;195;Entregado;2024-06-19 23:36:57.600;2024-06-20 01:33:10.685398
ENV00020;ID_T003;2024-08-04;Camioneta;Químicos;Levante;Canarias;821;56;38;557;Entregado;2024-08-05 15:24:28.800;2024-08-05 16:57:31.388074
ENV00021;ID_T007;2024-10-09;Camioneta;Materiales_Construccion;Levante;Centro;586;20;126;104;Retrasado;2024-10-10 04:07:40.800;2024-10-13 04:07:40.800000
ENV00022;ID_T013;2024-10-18;Camioneta;Paqueteria;Norte;Levante;577;111;66;308;Cancelado;2024-10-19 03:41:45.600;2024-10-19 03:41:45.600000
ENV00023;ID_T015;2024-10-01;Furgoneta;Paqueteria;Canarias;Norte;901;46;68;460;Retrasado;2024-10-02 19:14:52.800;2024-10-04 19:14:52.800000
ENV00024;ID_T001;2024-08-31;Furgoneta;Paqueteria;Centro;Sur;559;133;10;342;Entregado;2024-09-01 02:49:55.200;2024-08-31 16:21:23.778365
ENV00025;ID_T001;2024-05-17;Furgoneta;Químicos;Canarias;Sur;588;122;35;320;Entregado;2024-05-18 04:13:26.400;2024-05-18 00:32:12.677727
ENV00026;ID_T007;2024-04-20;Camioneta;Químicos;Norte;Centro;478;166;42;497;Retrasado;2024-04-20 22:56:38.400;2024-04-21 22:56:38.400000
ENV00027;ID_T007;2024-09-18;Camioneta;Materiales_Construccion;Sur;Levante;217;273;29;385;Entregado;2024-09-18 10:24:57.600;2024-09-18 09:00:20.245158
ENV00028;ID_T004;2024-06-12;Camioneta;Materiales_Construccion;Sur;Norte;494;237;121;253;Retrasado;2024-06-12 23:42:43.200;2024-06-17 23:42:43.200000
ENV00029;ID_T011;2024-01-30;Camioneta;Mobiliario;Canarias;Canarias;1242;184;10;194;Retrasado;2024-02-01 11:36:57.600;2024-02-04 11:36:57.600000
ENV00030;ID_T010;2024-08-19;Furgoneta;Mobiliario;Norte;Sur;622;161;110;368;Cancelado;2024-08-20 05:51:21.600;2024-08-20 05:51:21.600000
ENV00031;ID_T014;2024-07-23;Camioneta;Materiales_Construccion;Canarias;Norte;221;122;56;518;Entregado;2024-07-23 10:36:28.800;2024-07-23 01:03:03.283925
ENV00032;ID_T003;2024-08-22;Furgoneta;Frío;Canarias;Sur;975;196;47;415;Cancelado;2024-08-23 22:48:00.000;2024-08-23 22:48:00.000000
ENV00033;ID_T008;2024-04-24;Camioneta;Químicos;Canarias;Levante;50;51;65;317;Retrasado;2024-04-24 02:24:00.000;2024-04-25 02:24:00.000000
ENV00034;ID_T007;2024-10-05;Furgoneta;Mobiliario;Sur;Sur;680;62;70;488;Cancelado;2024-10-06 08:38:24.000;2024-10-06 08:38:24.000000
ENV00035;ID_T003;2024-07-08;Furgoneta;Mobiliario;Norte;Sur;253;20;58;556;Entregado;2024-07-08 12:08:38.400;2024-07-08 12:44:02.933620
ENV00036;ID_T007;2024-01-21;Camioneta;Paqueteria;Sur;Canarias;583;99;12;304;Cancelado;2024-01-22 03:59:02.400;2024-01-22 03:59:02.400000
ENV00037;ID_T011;2024-08-03;Furgoneta;Mobiliario;Levante;Andalucía;388;138;33;133;Retrasado;2024-08-03 18:37:26.400;2024-08-07 18:37:26.400000
ENV00038;ID_T005;2024-08-11;Camioneta;Mobiliario;Levante;Norte;965;20;65;402;Retrasado;2024-08-12 22:19:12.000;2024-08-17 22:19:12.000000
ENV00039;ID_T015;2024-12-23;Camioneta;Mobiliario;Norte;Norte;117;67;73;313;Retrasado;2024-12-23 05:36:57.600;2024-12-26 05:36:57.600000
ENV00040;ID_T005;2024-11-07;Furgoneta;Frío;Levante;Sur;127;149;92;397;Retrasado;2024-11-07 06:05:45.600;2024-11-12 06:05:45.600000
