ID_Transaccion;ID_Vendedor;Fecha_Venta;Canal_Venta;Tipo_Cliente;Region_Venta;Valor_Transaccion_€;Margen_Beneficio_€;Cantidad_Vendida
TRX00001;VEND005;2024-08-10;Retail;Gobierno;Andalucía;269;60;5
TRX00002;VEND009;2024-08-28;Online;Gobierno;Andalucía;354;56;5
TRX00003;VEND005;2024-06-28;Venta_Directa;Gobierno;Sur;187;101;3
TRX00004;VEND007;2024-12-16;Distribuidor;Empresa;Norte;286;46;7
TRX00005;VEND001;2024-02-03;Retail;Particular;Andalucía;152;122;8
TRX00006;VEND008;2024-12-14;Online;Particular;Canarias;128;90;6
TRX00007;VEND004;2024-08-06;Online;Empresa;Andalucía;422;106;5
TRX00008;VEND001;2024-07-09;Venta_Directa;Gobierno;Levante;274;46;4
TRX00009;VEND003;2024-08-13;Online;Particular;Centro;165;78;5
TRX00010;VEND008;2024-09-02;Distribuidor;Gobierno;Centro;386;105;3
TRX00011;VEND010;2024-03-02;Retail;Gobierno;Canarias;207;70;3
TRX00012;VEND001;2024-10-31;Venta_Directa;Gobierno;Canarias;266;57;2
TRX00013;VEND004;2024-12-23;Retail;Empresa;Canarias;205;44;4
TRX00014;VEND005;2024-06-05;Online;Empresa;Sur;114;87;1
TRX00015;VEND007;2024-10-02;Online;Particular;Sur;178;36;5
TRX00016;VEND008;2024-07-08;Retail;Particular;Andalucía;352;38;5
TRX00017;VEND001;2024-02-17;Venta_Directa;Particular;Andalucía;325;16;2
TRX00018;VEND002;2024-10-16;Retail;Particular;Norte;328;26;5
TRX00019;VEND004;2024-06-05;Retail;Empresa;Sur;256;64;6
TRX00020;VEND010;2024-09-04;Venta_Directa;Gobierno;Canarias;268;45;5
TRX00021;VEND002;2024-08-09;Distribuidor;Empresa;Levante;189;57;4
TRX00022;VEND010;2024-05-04;Online;Particular;Andalucía;305;116;2
TRX00023;VEND010;2024-12-03;Online;Gobierno;Andalucía;411;84;3
TRX00024;VEND009;2024-04-30;Online;Gobierno;Sur;170;54;5
TRX00025;VEND002;2024-10-21;Venta_Directa;Empresa;Andalucía;208;98;5
TRX00026;VEND006;2024-09-29;Venta_Directa;Particular;Norte;295;139;5
TRX00027;VEND006;2024-12-09;Retail;Particular;Sur;255;10;5
TRX00028;VEND005;2024-08-12;Retail;Particular;Sur;266;69;2
TRX00029;VEND001;2024-12-20;Distribuidor;Empresa;Norte;315;13;4
TRX00030;VEND009;2024-05-08;Retail;Particular;Centro;273;83;3
TRX00031;VEND003;2024-03-05;Retail;Empresa;Norte;188;130;5
TRX00032;VEND002;2024-07-01;Retail;Gobierno;Sur;206;93;5
TRX00033;VEND008;2024-08-05;Venta_Directa;Empresa;Canarias;245;31;4
TRX00034;VEND002;2024-05-22;Retail;Gobierno;Andalucía;477;168;4
TRX00035;VEND005;2024-08-02;Distribuidor;Empresa;Sur;228;10;5
TRX00036;VEND001;2024-02-05;Online;Gobierno;Andalucía;84;78;6
TRX00037;VEND004;2024-10-08;Online;Particular;Levante;305;82;5
TRX00038;VEND008;2024-04-22;Online;Gobierno;Centro;389;73;3
TRX00039;VEND007;2024-12-30;Retail;Gobierno;Centro;230;10;3
TRX00040;VEND002;2024-09-24;Venta_Directa;Particular;Sur;228;84;5
TRX00041;VEND010;2024-08-25;Distribuidor;Gobierno;Andalucía;271;78;3
TRX00042;VEND007;2024-08-25;Online;Particular;Andalucía;315;87;6
TRX00043;VEND008;2024-06-24;Distribuidor;Particular;Canarias;434;71;2
TRX00044;VEND008;2024-06-01;Online;Empresa;Andalucía;323;58;3
TRX00045;VEND009;2024-01-10;Venta_Directa;Gobierno;Levante;285;98;2
TRX00046;VEND006;2024-08-28;Distribuidor;Gobierno;Centro;330;95;4
TRX00047;VEND003;2024-04-27;Online;Empresa;Centro;165;147;5
TRX00048;VEND009;2024-07-25;Venta_Directa;Particular;Canarias;342;74;3
TRX00049;VEND001;2024-11-14;Online;Empresa;Levante;144;120;5
TRX00050;VEND003;2024-09-06;Retail;Particular;Sur;59;152;4
TRX00051;VEND005;2024-08-08;Venta_Directa;Empresa;Levante;299;49;7
TRX00052;VEND002;2024-04-28;Distribuidor;Empresa;Norte;302;86;1
TRX00053;VEND006;2024-05-01;Distribuidor;Particular;Sur;421;103;1
TRX00054;VEND007;2024-11-20;Retail;Particular;Levante;260;84;3
TRX00055;VEND006;2024-09-03;Venta_Directa;Gobierno;Canarias;285;122;6
TRX00056;VEND001;2024-10-21;Online;Gobierno;Andalucía;403;91;3
TRX00057;VEND004;2024-06-14;Retail;Empresa;Centro;141;99;7
TRX00058;VEND010;2024-06-30;Retail;Particular;Canarias;379;92;6
TRX00059;VEND004;2024-01-23;Retail;Particular;Levante;237;68;5
TRX00060;VEND003;2024-11-26;Online;Gobierno;Centro;400;59;6
TRX00061;VEND010;2024-08-31;Distribuidor;Gobierno;Levante;555;117;8
TRX00062;VEND010;2024-12-21;Retail;Gobierno;Canarias;185;73;4
TRX00063;VEND004;2024-12-22;Online;Gobierno;Norte;145;165;5
TRX00064;VEND003;2024-11-08;Online;Empresa;Levante;175;83;8
TRX00065;VEND008;2024-08-27;Online;Empresa;Norte;69;108;5
TRX00066;VEND004;2024-07-01;Online;Empresa;Levante;341;115;5
TRX00067;VEND005;2024-09-02;Retail;Particular;Centro;128;91;4
TRX00068;VEND009;2024-05-23;Online;Particular;Centro;82;12;10
TRX00069;VEND010;2024-12-12;Venta_Directa;Particular;Levante;125;10;3
TRX00070;VEND004;2024-10-26;Venta_Directa;Gobierno;Canarias;92;19;5
TRX00071;VEND009;2024-11-16;Distribuidor;Empresa;Sur;319;115;4
TRX00072;VEND002;2024-03-02;Online;Gobierno;Canarias;188;10;2
TRX00073;VEND005;2024-09-16;Venta_Directa;Particular;Sur;248;17;7
TRX00074;VEND006;2024-07-01;Retail;Gobierno;Canarias;265;49;6
TRX00075;VEND001;2024-04-28;Distribuidor;Gobierno;Centro;293;22;6
TRX00076;VEND010;2024-12-06;Venta_Directa;Gobierno;Norte;123;37;5
TRX00077;VEND001;2024-05-21;Retail;Particular;Andalucía;139;58;4
TRX00078;VEND001;2024-05-06;Online;Empresa;Canarias;50;95;7
TRX00079;VEND009;2024-12-07;Retail;Gobierno;Levante;233;10;2
TRX00080;VEND008;2024-07-24;Retail;Particular;Centro;284;57;2
TRX00081;VEND002;2024-03-17;Venta_Directa;Gobierno;Andalucía;151;26;5
TRX00082;VEND006;2024-11-30;Retail;Particular;Canarias;474;53;6
TRX00083;VEND010;2024-07-26;Venta_Directa;Empresa;Norte;503;92;6
TRX00084;VEND006;2024-01-01;Retail;Empresa;Levante;328;16;6
TRX00085;VEND005;2024-08-07;Venta_Directa;Gobierno;Norte;182;100;3
TRX00086;VEND001;2024-01-24;Retail;Empresa;Andalucía;281;116;3
TRX00087;VEND002;2024-08-29;Online;Particular;Norte;348;100;3
TRX00088;VEND007;2024-06-14;Distribuidor;Empresa;Canarias;306;109;1
TRX00089;VEND001;2024-05-18;Distribuidor;Gobierno;Norte;155;68;4
TRX00090;VEND010;2024-02-17;Online;Empresa;Norte;145;14;6
TRX00091;VEND010;2024-05-15;Online;Particular;Canarias;193;10;5
TRX00092;VEND010;2024-05-17;Venta_Directa;Particular;Canarias;295;56;4
TRX00093;VEND009;2024-10-20;Retail;Gobierno;Levante;195;78;5
TRX00094;VEND010;2024-12-09;Venta_Directa;Gobierno;Norte;365;71;7
TRX00095;VEND008;2024-10-30;Venta_Directa;Gobierno;Sur;283;70;6
TRX00096;VEND005;2024-01-05;Distribuidor;Gobierno;Centro;170;103;4
TRX00097;VEND003;2024-03-25;Distribuidor;Gobierno;Levante;234;105;4
TRX00098;VEND003;2024-04-08;Distribuidor;Empresa;Canarias;281;50;6
TRX00099;VEND008;2024-10-14;Distribuidor;Particular;Andalucía;281;119;4
TRX00100;VEND009;2024-10-29;Retail;Empresa;Levante;197;127;8
TRX00101;VEND006;2024-12-29;Online;Gobierno;Norte;445;23;6
TRX00102;VEND002;2024-04-09;Online;Particular;Levante;327;42;3
TRX00103;VEND007;2024-10-15;Retail;Gobierno;Centro;261;79;2
TRX00104;VEND003;2024-04-01;Distribuidor;Empresa;Norte;271;117;7
TRX00105;VEND003;2024-03-25;Online;Empresa;Norte;261;50;3
TRX00106;VEND009;2024-06-13;Retail;Empresa;Andalucía;184;23;7
TRX00107;VEND009;2024-11-23;Distribuidor;Empresa;Sur;360;62;6
TRX00108;VEND008;2024-11-19;Distribuidor;Empresa;Sur;307;10;3
TRX00109;VEND002;2024-09-27;Online;Gobierno;Levante;184;140;2
TRX00110;VEND004;2024-07-01;Distribuidor;Particular;Andalucía;241;57;5
TRX00111;VEND004;2024-05-30;Retail;Empresa;Canarias;213;200;4
TRX00112;VEND008;2024-03-09;Online;Empresa;Norte;161;29;7
TRX00113;VEND003;2024-04-19;Distribuidor;Gobierno;Sur;209;81;5
TRX00114;VEND005;2024-02-02;Online;Particular;Andalucía;199;32;2
TRX00115;VEND003;2024-05-26;Online;Particular;Sur;229;87;3
TRX00116;VEND002;2024-08-17;Retail;Empresa;Norte;160;99;4
TRX00117;VEND008;2024-08-27;Retail;Gobierno;Centro;469;39;6
TRX00118;VEND006;2024-10-20;Online;Particular;Levante;166;102;6
TRX00119;VEND007;2024-08-12;Venta_Directa;Particular;Sur;304;71;4
TRX00120;VEND007;2024-09-27;Retail;Particular;Andalucía;266;35;3
TRX00121;VEND003;2024-11-18;Distribuidor;Empresa;Canarias;335;77;4
TRX00122;VEND001;2024-07-25;Online;Gobierno;Centro;331;120;5
TRX00123;VEND001;2024-01-17;Retail;Gobierno;Canarias;140;122;3
TRX00124;VEND008;2024-03-01;Online;Particular;Canarias;367;108;5
TRX00125;VEND001;2024-01-22;Retail;Gobierno;Sur;291;30;5
TRX00126;VEND005;2024-06-07;Online;Particular;Canarias;273;34;9
TRX00127;VEND007;2024-03-08;Distribuidor;Gobierno;Andalucía;293;94;5
TRX00128;VEND010;2024-06-16;Venta_Directa;Gobierno;Norte;339;78;8
TRX00129;VEND005;2024-09-12;Retail;Particular;Centro;209;72;6
TRX00130;VEND005;2024-09-12;Online;Gobierno;Norte;200;119;2
TRX00131;VEND004;2024-08-15;Venta_Directa;Particular;Norte;402;21;2
TRX00132;VEND001;2024-01-05;Online;Empresa;Norte;361;61;3
TRX00133;VEND008;2024-08-21;Retail;Empresa;Norte;188;61;4
TRX00134;VEND005;2024-04-15;Retail;Empresa;Sur;101;71;9
TRX00135;VEND009;2024-05-10;Retail;Gobierno;Sur;239;120;6
TRX00136;VEND003;2024-06-21;Distribuidor;Particular;Andalucía;258;43;6
TRX00137;VEND005;2024-12-16;Online;Gobierno;Sur;165;104;4
TRX00138;VEND010;2024-02-01;Distribuidor;Particular;Sur;333;52;1
TRX00139;VEND005;2024-11-03;Distribuidor;Gobierno;Centro;376;54;2
TRX00140;VEND001;2024-01-18;Distribuidor;Gobierno;Canarias;145;64;3
TRX00141;VEND008;2024-12-26;Distribuidor;Gobierno;Sur;336;68;4
TRX00142;VEND007;2024-07-09;Distribuidor;Empresa;Canarias;285;50;1
TRX00143;VEND010;2024-09-11;Retail;Gobierno;Levante;303;128;4
TRX00144;VEND008;2024-01-29;Venta_Directa;Empresa;Centro;174;122;6
TRX00145;VEND006;2024-09-24;Retail;Gobierno;Levante;336;10;4
TRX00146;VEND010;2024-03-09;Online;Empresa;Centro;234;26;4
TRX00147;VEND002;2024-10-13;Retail;Empresa;Andalucía;200;64;7
TRX00148;VEND003;2024-11-19;Venta_Directa;Particular;Centro;246;115;6
TRX00149;VEND006;2024-09-20;Distribuidor;Particular;Centro;156;30;5
TRX00150;VEND001;2024-11-19;Retail;Particular;Norte;304;25;5
TRX00151;VEND008;2024-04-25;Venta_Directa;Particular;Andalucía;464;78;3
TRX00152;VEND004;2024-05-09;Retail;Empresa;Norte;173;130;6
TRX00153;VEND007;2024-02-27;Venta_Directa;Gobierno;Sur;130;15;7
TRX00154;VEND006;2024-03-09;Online;Gobierno;Levante;196;126;5
TRX00155;VEND006;2024-11-25;Retail;Gobierno;Sur;271;127;3
TRX00156;VEND005;2024-06-13;Distribuidor;Gobierno;Centro;239;94;5
TRX00157;VEND007;2024-12-04;Online;Particular;Centro;258;90;2
TRX00158;VEND010;2024-07-25;Online;Empresa;Levante;140;51;6
TRX00159;VEND010;2024-04-26;Venta_Directa;Gobierno;Canarias;315;68;5
TRX00160;VEND003;2024-08-29;Distribuidor;Gobierno;Norte;312;67;2
TRX00161;VEND003;2024-02-28;Online;Empresa;Norte;357;49;8
TRX00162;VEND001;2024-03-07;Venta_Directa;Gobierno;Sur;353;85;4
TRX00163;VEND008;2024-04-26;Online;Gobierno;Andalucía;238;98;5
TRX00164;VEND003;2024-06-29;Online;Particular;Sur;489;83;6
TRX00165;VEND008;2024-01-02;Venta_Directa;Empresa;Canarias;302;65;7
TRX00166;VEND009;2024-07-21;Online;Gobierno;Norte;215;43;3
TRX00167;VEND005;2024-04-08;Retail;Particular;Andalucía;374;89;6
TRX00168;VEND008;2024-01-28;Retail;Empresa;Andalucía;321;156;6
TRX00169;VEND009;2024-08-07;Retail;Empresa;Norte;412;10;3
TRX00170;VEND005;2024-06-30;Distribuidor;Empresa;Levante;252;81;4
TRX00171;VEND007;2024-03-06;Distribuidor;Empresa;Andalucía;157;23;6
TRX00172;VEND003;2024-11-27;Online;Particular;Levante;373;10;7
TRX00173;VEND004;2024-01-21;Retail;Particular;Levante;255;126;4
TRX00174;VEND009;2024-03-26;Distribuidor;Empresa;Sur;200;173;4
TRX00175;VEND001;2024-04-16;Retail;Gobierno;Canarias;241;68;2
TRX00176;VEND008;2024-06-23;Retail;Particular;Canarias;234;59;8
TRX00177;VEND006;2024-12-20;Online;Empresa;Norte;354;67;5
TRX00178;VEND005;2024-03-12;Distribuidor;Gobierno;Canarias;209;119;5
TRX00179;VEND009;2024-06-03;Venta_Directa;Particular;Norte;199;22;5
TRX00180;VEND001;2024-02-06;Online;Particular;Centro;202;148;4
TRX00181;VEND009;2024-04-24;Distribuidor;Particular;Canarias;420;54;2
TRX00182;VEND007;2024-11-28;Online;Particular;Andalucía;200;48;6
TRX00183;VEND008;2024-02-09;Venta_Directa;Particular;Centro;212;35;6
TRX00184;VEND010;2024-12-14;Venta_Directa;Empresa;Centro;290;15;6
TRX00185;VEND008;2024-01-16;Venta_Directa;Empresa;Centro;258;147;7
TRX00186;VEND006;2024-12-03;Retail;Particular;Sur;280;95;5
TRX00187;VEND001;2024-11-18;Online;Empresa;Centro;50;81;9
TRX00188;VEND001;2024-01-27;Online;Gobierno;Levante;226;100;4
TRX00189;VEND005;2024-05-13;Distribuidor;Gobierno;Centro;267;81;3
TRX00190;VEND010;2024-11-26;Online;Particular;Andalucía;213;41;1
TRX00191;VEND009;2024-04-16;Retail;Empresa;Centro;50;134;7
TRX00192;VEND010;2024-02-11;Retail;Particular;Norte;128;138;3
TRX00193;VEND001;2024-08-23;Online;Gobierno;Norte;231;121;6
TRX00194;VEND001;2024-07-24;Online;Empresa;Canarias;166;82;6
TRX00195;VEND003;2024-11-30;Retail;Gobierno;Sur;333;119;6
TRX00196;VEND005;2024-08-22;Distribuidor;Gobierno;Levante;97;10;7
TRX00197;VEND010;2024-08-10;Venta_Directa;Gobierno;Canarias;406;14;6
TRX00198;VEND008;2024-03-29;Venta_Directa;Gobierno;Canarias;293;78;2
TRX00199;VEND005;2024-11-03;Distribuidor;Empresa;Levante;319;35;1
TRX00200;VEND006;2024-12-06;Retail;Empresa;Canarias;323;41;7
TRX00201;VEND002;2024-08-24;Venta_Directa;Empresa;Levante;458;85;2
TRX00202;VEND004;2024-11-03;Venta_Directa;Gobierno;Canarias;205;44;2
TRX00203;VEND005;2024-09-02;Venta_Directa;Gobierno;Andalucía;314;93;8
TRX00204;VEND008;2024-11-27;Venta_Directa;Particular;Norte;50;72;4
TRX00205;VEND005;2024-12-03;Distribuidor;Gobierno;Canarias;248;101;5
TRX00206;VEND003;2024-03-30;Online;Particular;Norte;183;57;5
TRX00207;VEND004;2024-10-20;Online;Empresa;Centro;50;90;6
TRX00208;VEND010;2024-08-31;Retail;Empresa;Andalucía;136;67;5
TRX00209;VEND005;2024-08-04;Online;Particular;Norte;126;125;8
TRX00210;VEND009;2024-11-23;Venta_Directa;Empresa;Levante;276;89;4
TRX00211;VEND009;2024-08-08;Venta_Directa;Particular;Levante;515;68;8
TRX00212;VEND007;2024-11-16;Online;Empresa;Sur;256;10;5
TRX00213;VEND005;2024-07-09;Venta_Directa;Particular;Canarias;398;143;5
TRX00214;VEND010;2024-12-04;Online;Gobierno;Canarias;241;37;3
TRX00215;VEND004;2024-03-31;Distribuidor;Gobierno;Andalucía;250;71;6
TRX00216;VEND008;2024-07-04;Venta_Directa;Particular;Sur;85;103;5
TRX00217;VEND001;2024-10-06;Retail;Particular;Sur;229;132;7
TRX00218;VEND002;2024-06-18;Retail;Empresa;Canarias;387;147;1
TRX00219;VEND003;2024-03-06;Venta_Directa;Gobierno;Sur;262;74;4
TRX00220;VEND006;2024-06-03;Retail;Gobierno;Sur;319;93;1
TRX00221;VEND003;2024-03-29;Retail;Empresa;Canarias;219;31;8
TRX00222;VEND010;2024-07-03;Venta_Directa;Empresa;Canarias;135;32;7
TRX00223;VEND003;2024-04-22;Online;Particular;Andalucía;167;75;5
TRX00224;VEND002;2024-07-18;Retail;Particular;Levante;378;40;2
TRX00225;VEND009;2024-06-25;Online;Gobierno;Sur;231;30;5
TRX00226;VEND002;2024-02-20;Venta_Directa;Particular;Levante;371;61;6
TRX00227;VEND003;2024-07-26;Retail;Empresa;Centro;289;76;4
TRX00228;VEND007;2024-02-17;Online;Empresa;Norte;175;74;3
TRX00229;VEND003;2024-11-19;Venta_Directa;Empresa;Centro;191;131;5
TRX00230;VEND005;2024-05-21;Distribuidor;Particular;Norte;224;54;5
TRX00231;VEND009;2024-09-12;Retail;Empresa;Norte;307;46;1
TRX00232;VEND007;2024-09-03;Online;Gobierno;Andalucía;180;151;4
TRX00233;VEND004;2024-11-26;Retail;Particular;Centro;97;50;3
TRX00234;VEND008;2024-03-17;Venta_Directa;Empresa;Sur;361;92;7
TRX00235;VEND008;2024-05-04;Venta_Directa;Gobierno;Levante;245;113;4
TRX00236;VEND005;2024-08-22;Online;Gobierno;Canarias;144;98;5
TRX00237;VEND009;2024-06-11;Online;Empresa;Sur;186;110;5
TRX00238;VEND008;2024-01-17;Venta_Directa;Gobierno;Andalucía;221;90;5
TRX00239;VEND001;2024-05-16;Venta_Directa;Empresa;Andalucía;136;129;4
TRX00240;VEND002;2024-02-15;Distribuidor;Particular;Canarias;286;24;7
TRX00241;VEND001;2024-02-19;Online;Particular;Andalucía;185;78;4
TRX00242;VEND004;2024-05-15;Distribuidor;Gobierno;Andalucía;302;28;3
TRX00243;VEND007;2024-08-31;Online;Particular;Levante;222;39;1
TRX00244;VEND004;2024-11-29;Retail;Gobierno;Centro;166;85;6
TRX00245;VEND010;2024-07-05;Retail;Particular;Andalucía;343;95;6
TRX00246;VEND010;2024-08-19;Venta_Directa;Empresa;Centro;318;49;7
TRX00247;VEND005;2024-05-06;Venta_Directa;Particular;Canarias;296;109;5
TRX00248;VEND004;2024-11-17;Online;Empresa;Centro;501;98;7
TRX00249;VEND004;2024-11-24;Retail;Particular;Andalucía;445;44;1
TRX00250;VEND007;2024-11-12;Retail;Empresa;Norte;196;11;3
TRX00251;VEND005;2024-11-04;Distribuidor;Particular;Levante;130;66;3
TRX00252;VEND006;2024-03-18;Distribuidor;Particular;Andalucía;194;10;7
TRX00253;VEND006;2024-06-23;Distribuidor;Gobierno;Centro;210;82;4
TRX00254;VEND001;2024-09-09;Distribuidor;Particular;Sur;282;53;3
TRX00255;VEND006;2024-12-10;Distribuidor;Empresa;Levante;295;55;6
TRX00256;VEND004;2024-07-04;Venta_Directa;Gobierno;Levante;211;127;2
TRX00257;VEND001;2024-11-25;Retail;Particular;Andalucía;258;77;6
TRX00258;VEND001;2024-01-07;Distribuidor;Empresa;Centro;310;121;3
TRX00259;VEND003;2024-07-25;Online;Gobierno;Canarias;236;55;6
TRX00260;VEND006;2024-09-10;Retail;Particular;Centro;183;38;5
TRX00261;VEND002;2024-06-08;Online;Gobierno;Centro;284;35;4
TRX00262;VEND001;2024-01-22;Retail;Particular;Centro;79;102;3
TRX00263;VEND008;2024-11-03;Retail;Particular;Norte;296;117;6
TRX00264;VEND007;2024-08-26;Venta_Directa;Particular;Centro;235;64;6
TRX00265;VEND001;2024-01-13;Online;Gobierno;Andalucía;183;144;3
TRX00266;VEND009;2024-03-14;Venta_Directa;Gobierno;Andalucía;257;71;3
TRX00267;VEND004;2024-04-15;Venta_Directa;Particular;Norte;374;105;3
TRX00268;VEND007;2024-02-10;Online;Empresa;Canarias;290;83;3
TRX00269;VEND007;2024-09-30;Online;Particular;Andalucía;164;84;4
TRX00270;VEND002;2024-04-13;Venta_Directa;Particular;Andalucía;297;75;1
TRX00271;VEND009;2024-09-03;Online;Empresa;Levante;166;124;2
TRX00272;VEND010;2024-02-11;Online;Gobierno;Canarias;195;95;5
TRX00273;VEND006;2024-05-19;Retail;Empresa;Levante;305;119;4
TRX00274;VEND008;2024-12-20;Venta_Directa;Gobierno;Andalucía;232;56;1
TRX00275;VEND008;2024-10-22;Online;Particular;Andalucía;407;39;5
TRX00276;VEND007;2024-04-16;Distribuidor;Particular;Sur;286;101;5
TRX00277;VEND002;2024-04-20;Venta_Directa;Empresa;Norte;310;10;3
TRX00278;VEND008;2024-06-18;Online;Particular;Norte;322;71;4
TRX00279;VEND004;2024-03-25;Online;Empresa;Levante;135;110;8
TRX00280;VEND006;2024-02-10;Venta_Directa;Particular;Canarias;232;90;8
TRX00281;VEND003;2024-07-20;Online;Empresa;Sur;219;81;8
TRX00282;VEND003;2024-08-24;Venta_Directa;Particular;Andalucía;50;90;6
TRX00283;VEND001;2024-11-28;Online;Particular;Centro;262;73;5
TRX00284;VEND006;2024-02-02;Online;Empresa;Canarias;198;71;4
TRX00285;VEND007;2024-10-15;Retail;Particular;Andalucía;210;69;7
TRX00286;VEND003;2024-04-14;Retail;Gobierno;Canarias;133;78;3
TRX00287;VEND010;2024-12-11;Retail;Empresa;Centro;372;135;4
TRX00288;VEND006;2024-06-26;Online;Gobierno;Norte;232;102;5
TRX00289;VEND006;2024-11-24;Venta_Directa;Gobierno;Andalucía;255;24;6
TRX00290;VEND004;2024-08-28;Venta_Directa;Gobierno;Andalucía;378;84;7
TRX00291;VEND003;2024-09-12;Distribuidor;Particular;Andalucía;424;150;9
TRX00292;VEND010;2024-06-25;Venta_Directa;Gobierno;Norte;270;63;5
TRX00293;VEND002;2024-10-09;Venta_Directa;Particular;Centro;120;95;1
TRX00294;VEND009;2024-12-25;Retail;Empresa;Andalucía;213;54;6
TRX00295;VEND004;2024-10-05;Distribuidor;Particular;Norte;154;137;6
TRX00296;VEND009;2024-06-03;Venta_Directa;Gobierno;Centro;97;95;6
TRX00297;VEND008;2024-06-15;Online;Empresa;Levante;359;110;1
TRX00298;VEND003;2024-05-01;Venta_Directa;Gobierno;Sur;266;10;7
TRX00299;VEND003;2024-11-12;Venta_Directa;Empresa;Sur;191;48;2
TRX00300;VEND007;2024-02-13;Online;Particular;Sur;255;26;3
TRX00301;VEND001;2024-07-28;Venta_Directa;Gobierno;Norte;470;11;3
TRX00302;VEND006;2024-05-06;Distribuidor;Particular;Levante;50;70;4
TRX00303;VEND009;2024-07-25;Distribuidor;Particular;Norte;196;88;4
TRX00304;VEND007;2024-08-07;Venta_Directa;Particular;Sur;263;81;3
TRX00305;VEND009;2024-02-09;Retail;Gobierno;Centro;296;145;5
TRX00306;VEND007;2024-06-16;Venta_Directa;Empresa;Andalucía;290;100;9
TRX00307;VEND003;2024-09-08;Distribuidor;Gobierno;Andalucía;203;86;4
TRX00308;VEND007;2024-05-12;Venta_Directa;Empresa;Sur;330;27;5
TRX00309;VEND001;2024-01-10;Retail;Empresa;Norte;202;69;4
TRX00310;VEND004;2024-12-06;Venta_Directa;Gobierno;Centro;253;10;3
TRX00311;VEND010;2024-03-04;Online;Empresa;Norte;292;11;4
TRX00312;VEND002;2024-08-14;Venta_Directa;Gobierno;Sur;261;69;5
TRX00313;VEND006;2024-10-22;Venta_Directa;Empresa;Canarias;267;36;6
TRX00314;VEND007;2024-06-10;Distribuidor;Gobierno;Norte;430;73;1
TRX00315;VEND005;2024-10-08;Online;Particular;Centro;237;62;3
TRX00316;VEND009;2024-05-24;Distribuidor;Empresa;Andalucía;186;53;4
TRX00317;VEND007;2024-09-29;Distribuidor;Empresa;Andalucía;182;47;2
TRX00318;VEND002;2024-09-02;Venta_Directa;Empresa;Canarias;242;30;6
TRX00319;VEND004;2024-10-30;Venta_Directa;Particular;Sur;328;38;3
TRX00320;VEND001;2024-07-18;Online;Empresa;Centro;437;120;6
TRX00321;VEND006;2024-12-08;Distribuidor;Empresa;Sur;144;60;6
TRX00322;VEND003;2024-04-08;Online;Particular;Canarias;467;72;6
TRX00323;VEND005;2024-08-07;Retail;Particular;Levante;122;67;5
